Num Day,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4
1,7.039999999999992,4.192,7.279999999999985,4.904888888888889,1.811111111111113,4.055555555555537,3.188888888888848,4.611111111111112,4.260045351473923,7.126530612244899,0.9224489795918218,2.138775510204053,6.018750000000023,5.650000000000001,5.312499999999999,7.887500000000001,0.9234567901234574,2.459259259259277,0.5185185185185194,0.5234567901234563,1.9479999999999928,0.7159999999999995,0.968,2.4080000000000004
2,1.0069999999999997,4.094999999999998,3.2630000000000297,5.167000000000001,5.103888888888888,3.770555555555556,3.5483333333333325,3.048333333333332,4.112959183673469,2.039489795918368,3.288469387755101,2.9782653061224496,2.540000000000001,0.6225,4.346250000000001,1.6337500000000005,1.5458641975308625,3.150802469135812,1.1903086419753084,3.219938271604937,0.7450000000000003,1.3290000000000008,0.965,2.189
3,1.0312222592877793,4.130487680070218,3.2897400019842515,5.205997233570152,5.3096934241609715,3.859003440701494,3.587284645221395,3.1153569925072278,4.214083955720024,2.0640836074279374,3.3342829273533714,3.009842338917843,2.553816017179241,0.630019153602162,4.341801649102735,1.584535926230167,1.5725730502607305,3.1623771607144535,1.1647353817072423,3.1747984855979565,0.6648113576284765,1.2734718457317282,0.9637569005371389,2.1913729637904567
4,5.888,3.5520000000000005,5.184000000000007,5.727999999999999,5.544444444444445,7.377777777777777,4.888888888888889,4.266666666666666,4.334693877551022,4.155102040816326,3.2979591836734703,3.983673469387755,4.825,4.15,3.9125,7.65625,1.822222222222222,3.866666666666611,2.9925925925925925,4.14814814814815,0.2080000000000009,0.4240000000000008,0.7199999999999992,0.6000000000000011
5,4.801,4.481000000000001,4.688999999999926,5.1530000000000005,7.372777777777777,6.706111111111111,5.92277777777781,4.389444444444466,6.385816326530597,5.369489795918368,3.753163265306123,3.802142857142857,4.179375000000013,4.6450000000000005,2.673125,4.329375000000001,2.273395061728394,3.91290123456792,3.211666666666666,2.4091975308641973,0.767000000000001,0.7509999999999986,1.1130000000000018,0.923000000000001
6,0.9890895376208675,4.045674569296219,3.2295857337491327,5.10953913262858,4.820243617180292,3.655842249079636,3.505849273147497,2.961922347611915,3.980008388781737,2.017731143394146,3.228480757517019,2.9379487020501167,2.5264070714401696,0.6251243314159793,4.347928488057858,1.7070172795069491,1.5132734377315287,3.1370017602455764,1.2337883606255402,3.2791978713381806,0.8587187316154264,1.406997626373121,0.970327101889549,2.186022879565191
7,0.9668625866657443,4.024561474007642,3.2114705108614525,5.085213142429544,4.699591054728292,3.600035554418238,3.4849291877495925,2.922037683107636,3.9224281478539873,2.002170451936544,3.203018924189669,2.919653189225755,2.5163065861952734,0.6179151675772134,4.349918936334579,1.7272064206161453,1.4978743140828303,3.12973275608336,1.2473757163340347,3.3029652405658148,0.9037824382214996,1.4394832959101012,0.9714679655813543,2.1862463745984786
8,3.527,2.9510000000000005,2.999000000000022,2.535,2.0172222222222222,1.4283333333333332,7.50611111111111,3.150555555555556,2.1235714285714287,4.088945578231295,3.4296938775510206,3.7398979591836734,3.945,3.02,2.9450000000000003,2.9575,1.9838888888888884,3.899938271604948,4.388827160493828,3.954259259259259,4.490999999999999,5.491,4.194999999999999,4.723
9,6.584,6.615999999999999,6.008000000000044,5.879999999999999,2.7177777777777776,8.104444444444445,3.951111111111111,4.384444444444445,3.57469387755102,3.3869387755101967,3.4359183673469387,3.958367346938776,4.265000000000001,5.60875,3.55875,5.75875,3.195555555555556,3.9116049382716143,3.980740740740741,3.254814814814815,6.620000000000001,5.284,4.688,4.664000000000001
10,5.056000000000001,5.304,4.31999999999997,4.84,4.844444444444444,5.133333333333312,4.55,7.611111111111122,4.171428571428572,3.677551020408164,5.812244897959199,3.8686621315192786,5.240625,3.4000000000000004,6.015625,6.081250000000001,4.920987654320987,3.921700960219486,6.125925925925927,5.827160493827161,8.494,5.596,7.398,7.738
